,Match ID,Date,Venue,Bat First,Bat Second,Winner,Target Score,Chased,Defended
1310,1303313,2022-07-20,Civil Service Cricket Club,New Zealand,Ireland,New Zealand,180,No,Yes
1311,1303314,2022-07-22,Civil Service Cricket Club,Ireland,New Zealand,New Zealand,175,Yes,No
1312,1303315,2022-08-03,County Ground,South Africa,Ireland,South Africa,212,No,Yes
1313,1303316,2022-08-05,County Ground,South Africa,Ireland,South Africa,183,No,Yes
1314,1305498,2022-03-28,Tribhuvan University International Cricket Ground,Nepal,Papua New Guinea,Nepal,184,No,Yes
1315,1305499,2022-03-29,Tribhuvan University International Cricket Ground,Malaysia,Papua New Guinea,Malaysia,181,No,Yes
1316,1305500,2022-03-30,Tribhuvan University International Cricket Ground,Malaysia,Nepal,Nepal,115,Yes,No
1317,1305501,2022-03-31,Tribhuvan University International Cricket Ground,Nepal,Papua New Guinea,Nepal,204,No,Yes
1318,1305502,2022-04-01,Tribhuvan University International Cricket Ground,Malaysia,Papua New Guinea,Papua New Guinea,197,Yes,No
1319,1305503,2022-04-02,Tribhuvan University International Cricket Ground,Nepal,Malaysia,Nepal,224,No,Yes
1320,1305504,2022-04-04,Tribhuvan University International Cricket Ground,Nepal,Papua New Guinea,Nepal,169,No,Yes
1321,1307159,2022-08-09,Civil Service Cricket Club,Afghanistan,Ireland,Ireland,169,Yes,No
1322,1307160,2022-08-11,Civil Service Cricket Club,Afghanistan,Ireland,Ireland,123,Yes,No
1323,1307161,2022-08-12,Civil Service Cricket Club,Afghanistan,Ireland,Afghanistan,190,No,Yes
1324,1307162,2022-08-15,Civil Service Cricket Club,Afghanistan,Ireland,Afghanistan,133,No,Yes
1325,1307163,2022-08-17,Civil Service Cricket Club,Afghanistan,Ireland,Ireland,56,Yes,No
1326,1307293,2022-06-07,R Premadasa Stadium,Sri Lanka,Australia,Australia,129,Yes,No
1327,1307294,2022-06-08,R Premadasa Stadium,Sri Lanka,Australia,Australia,125,Yes,No
1328,1307295,2022-06-11,Pallekele International Cricket Stadium,Australia,Sri Lanka,Sri Lanka,177,Yes,No
1329,1307477,2022-07-27,Grange Cricket Club Ground,New Zealand,Scotland,New Zealand,226,No,Yes
1330,1307478,2022-07-29,Grange Cricket Club Ground,New Zealand,Scotland,New Zealand,255,No,Yes
1331,1309701,2022-04-08,United Cricket Club Ground,Uganda,Namibia,Namibia,128,Yes,No
1332,1309702,2022-04-09,United Cricket Club Ground,Namibia,Uganda,Uganda,178,Yes,No
1333,1309703,2022-04-10,United Cricket Club Ground,Namibia,Uganda,Namibia,186,No,Yes
1334,1310161,2022-04-29,Desert Springs Cricket Ground,Norway,Guernsey,Norway,138,No,Yes
1335,1310162,2022-04-30,Desert Springs Cricket Ground,Spain,Norway,Spain,130,No,Yes
1336,1310163,2022-04-30,Desert Springs Cricket Ground,Norway,Guernsey,Guernsey,121,Yes,No
1337,1310164,2022-04-30,Desert Springs Cricket Ground,Guernsey,Spain,Spain,79,Yes,No
1338,1310165,2022-05-01,Desert Springs Cricket Ground,Spain,Guernsey,Guernsey,108,Yes,No
1339,1310166,2022-05-01,Desert Springs Cricket Ground,Spain,Norway,Spain,126,No,Yes
1340,1310167,2022-05-07,Svanholm Park,Denmark,Finland,Finland,138,Yes,No
1341,1310168,2022-05-07,Svanholm Park,Denmark,Finland,Denmark,172,No,Yes
1342,1310169,2022-05-08,Svanholm Park,Denmark,Finland,Denmark,165,No,Yes
1343,1310170,2022-05-10,Marsa Sports Club,Gibraltar,Malta,Malta,133,Yes,No
1344,1310171,2022-05-10,Marsa Sports Club,Malta,Hungary,Malta,207,No,Yes
1345,1310172,2022-05-10,Marsa Sports Club,Gibraltar,Hungary,Hungary,138,Yes,No
1346,1310173,2022-05-11,Marsa Sports Club,Romania,Malta,Malta,166,Yes,No
1347,1310174,2022-05-11,Marsa Sports Club,Czech Republic,Gibraltar,Czech Republic,185,No,Yes
1348,1310175,2022-05-11,Marsa Sports Club,Hungary,Bulgaria,Hungary,159,No,Yes
1349,1310176,2022-05-12,Marsa Sports Club,Malta,Czech Republic,Malta,165,No,Yes
1350,1310177,2022-05-12,Marsa Sports Club,Czech Republic,Bulgaria,Czech Republic,259,No,Yes
1351,1310178,2022-05-12,Marsa Sports Club,Romania,Hungary,Hungary,159,Yes,No
1352,1310179,2022-05-13,Marsa Sports Club,Gibraltar,Bulgaria,Gibraltar,214,No,Yes
